param;accuracy;recall;TP;TN;FP;FN
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.316236388;0.774472172;30464;3605751;993004;65869
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.330862737;0.775072374;31873;3607160;991595;64460
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.338617089;0.775390578;32620;3607907;990848;63713
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.328153385;0.774961193;31612;3606899;991856;64721
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.335388704;0.7752581;32309;3607596;991159;64024
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.315883446;0.774457689;30430;3605717;993038;65903
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.329212212;0.775004643;31714;3607001;991754;64619
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.329419825;0.775013163;31734;3607021;991734;64599
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.329762387;0.77502722;31767;3607054;991701;64566
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.334527109;0.775222743;32226;3607513;991242;64107
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.319817716;0.774619134;30809;3606096;992659;65524
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.315592788;0.774445761;30402;3605689;993066;65931
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.322049557;0.774710719;31024;3606311;992444;65309
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.328298714;0.774967157;31626;3606913;991842;64707
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.330053045;0.775039147;31795;3607082;991673;64538
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.280827961;0.773019164;27053;3602340;996415;69280
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.284679186;0.773177201;27424;3602711;996044;68909
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.265879813;0.772405757;25613;3600900;997855;70720
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.304869567;0.774005727;29369;3604656;994099;66964
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.301205194;0.773855357;29016;3604303;994452;67317
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.284980225;0.773189555;27453;3602740;996015;68880
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.288322797;0.773326719;27775;3603062;995693;68558
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.296077149;0.773644924;28522;3603809;994946;67811
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.288571933;0.773336943;27799;3603086;995669;68534
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.296699989;0.773670483;28582;3603869;994886;67751
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.273675687;0.772725666;26364;3601651;997104;69969
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.272201634;0.772665177;26222;3601509;997246;70111
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.299834948;0.773799128;28884;3604171;994584;67449
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.28915325;0.773360797;27855;3603142;995613;68478
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.3006654;0.773833206;28964;3604251;994504;67369
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.435935764;0.683427233;41995;3166756;1431999;54338
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.448641691;0.683948629;43219;3167980;1430775;53114
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.444645137;0.683784628;42834;3167595;1431160;53499
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.440046505;0.68359592;42391;3167152;1431603;53942
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.444987699;0.683798685;42867;3167628;1431127;53466
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.3139438329804116};0.431825024;0.683258546;41599;3166360;1432395;54734
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.3139438329804116};0.428409787;0.683118399;41270;3166031;1432724;55063
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.3139438329804116};0.439714324;0.683582289;42359;3167120;1431635;53974
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.3139438329804116};0.445921958;0.683837023;42957;3167718;1431037;53376
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.3139438329804116};0.443814684;0.68375055;42754;3167515;1431240;53579
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.3139438329804116};0.432271392;0.683276863;41642;3166403;1432352;54691
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.3139438329804116};0.43949633;0.683573343;42338;3167099;1431656;53995
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.3139438329804116};0.440316402;0.683606995;42417;3167178;1431577;53916
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.3139438329804116};0.434710847;0.683376968;41877;3166638;1432117;54456
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.3139438329804116};0.437793902;0.683503483;42174;3166935;1431820;54159
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.3139438329804116};0.437648573;0.683497519;42160;3166921;1431834;54173
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.3139438329804116};0.438510168;0.683532875;42243;3167004;1431751;54090
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.3139438329804116};0.447956567;0.683920514;43153;3167914;1430841;53180
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.3139438329804116};0.444271433;0.683769293;42798;3167559;1431196;53535
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.3139438329804116};0.442724715;0.683705822;42649;3167410;1431345;53684
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.3139438329804116};0.422752328;0.682886242;40725;3165486;1433269;55608
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.3139438329804116};0.438925394;0.683549914;42283;3167044;1431711;54050
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.3139438329804116};0.44169703;0.68366365;42550;3167311;1431444;53783
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.3139438329804116};0.437191824;0.683478776;42116;3166877;1431878;54217
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.3139438329804116};0.436600127;0.683454495;42059;3166820;1431935;54274
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.3139438329804116};0.432655476;0.683292624;41679;3166440;1432315;54654
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.3139438329804116};0.427423624;0.683077932;41175;3165936;1432819;55158
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.3139438329804116};0.431980733;0.683264936;41614;3166375;1432380;54719
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.3139438329804116};0.432209108;0.683274307;41636;3166397;1432358;54697
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.3139438329804116};0.440088028;0.683597624;42395;3167156;1431599;53938
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.3139438329804116};0.406911443;0.682236201;39199;3163960;1434795;57134
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.3139438329804116};0.436392513;0.683445976;42039;3166800;1431955;54294
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.3139438329804116};0.443295652;0.683729251;42704;3167465;1431290;53629
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.3139438329804116};0.437347534;0.683485166;42131;3166892;1431863;54202
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.3139438329804116};0.441209139;0.683643629;42503;3167264;1431491;53830
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.3139438329804116};0.422690044;0.682883686;40719;3165480;1433275;55614
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.3139438329804116};0.436039571;0.683431493;42005;3166766;1431989;54328
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.3139438329804116};0.432344057;0.683279845;41649;3166410;1432345;54684
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.3139438329804116};0.433984201;0.683347149;41807;3166568;1432187;54526
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.3139438329804116};0.438333697;0.683525634;42226;3166987;1431768;54107
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.3139438329804116};0.411883778;0.682440244;39678;3164439;1434316;56655
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.3139438329804116};0.425555106;0.683001256;40995;3165756;1432999;55338
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.3139438329804116};0.422378624;0.682870907;40689;3165450;1433305;55644
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.3139438329804116};0.435198738;0.683396989;41924;3166685;1432070;54409
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.3139438329804116};0.443046516;0.683719027;42680;3167441;1431314;53653
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.3139438329804116};0.367371513;0.680613654;35390;3160151;1438604;60943
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.3139438329804116};0.353471811;0.680043271;34051;3158812;1439943;62282
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.3139438329804116};0.386752203;0.681408953;37257;3162018;1436737;59076
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.3139438329804116};0.384862923;0.681331426;37075;3161836;1436919;59258
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.3139438329804116};0.384458078;0.681314812;37036;3161797;1436958;59297
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.3139438329804116};0.390157059;0.681548674;37585;3162346;1436409;58748
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.3139438329804116};0.375925176;0.680964659;36214;3160975;1437780;60119
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.3139438329804116};0.385900989;0.681374023;37175;3161936;1436819;59158
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.3139438329804116};0.3967903;0.681820873;38224;3162985;1435770;58109
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.3139438329804116};0.383669148;0.681282438;36960;3161721;1437034;59373
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.3139438329804116};0.382309281;0.681226635;36829;3161590;1437165;59504
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.3139438329804116};0.389731452;0.681531209;37544;3162305;1436450;58789
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.3139438329804116};0.381956339;0.681212152;36795;3161556;1437199;59538
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.3139438329804116};0.378105115;0.681054114;36424;3161185;1437570;59909
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.3139438329804116};0.388143212;0.681466034;37391;3162152;1436603;58942
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.40990070840002285};0.536181786;0.591584013;51652;2725887;1872868;44681
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.40990070840002285};0.536285593;0.591588273;51662;2725897;1872858;44671
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.40990070840002285};0.541340973;0.591795724;52149;2726384;1872371;44184
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.40990070840002285};0.535569327;0.59155888;51593;2725828;1872927;44740
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.40990070840002285};0.537738885;0.591647909;51802;2726037;1872718;44531
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.40990070840002285};0.522333987;0.591015759;50318;2724553;1874202;46015
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.40990070840002285};0.532351323;0.591426827;51283;2725518;1873237;45050
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.40990070840002285};0.536233689;0.591586143;51657;2725892;1872863;44676
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.40990070840002285};0.537033;0.591618943;51734;2725969;1872786;44599
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.40990070840002285};0.536949955;0.591615535;51726;2725961;1872794;44607
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.40990070840002285};0.531821909;0.591405103;51232;2725467;1873288;45101
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.40990070840002285};0.539410171;0.591716492;51963;2726198;1872557;44370
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.40990070840002285};0.530524327;0.591351855;51107;2725342;1873413;45226
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.40990070840002285};0.529974152;0.591329279;51054;2725289;1873466;45279
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.40990070840002285};0.535569327;0.59155888;51593;2725828;1872927;44740
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.40990070840002285};0.539368648;0.591714788;51959;2726194;1872561;44374
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.40990070840002285};0.533981086;0.591493706;51440;2725675;1873080;44893
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.40990070840002285};0.538870377;0.591694341;51911;2726146;1872609;44422
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.40990070840002285};0.539295984;0.591711806;51952;2726187;1872568;44381
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.40990070840002285};0.541465541;0.591800835;52161;2726396;1872359;44172
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.40990070840002285};0.514122886;0.590678812;49527;2723762;1874993;46806
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.40990070840002285};0.521804574;0.590994035;50267;2724502;1874253;46066
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.40990070840002285};0.52410908;0.591088602;50489;2724724;1874031;45844
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.40990070840002285};0.534396313;0.591510745;51480;2725715;1873040;44853
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.40990070840002285};0.536981097;0.591616813;51729;2725964;1872791;44604
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.40990070840002285};0.51590836;0.59075208;49699;2723934;1874821;46634
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.40990070840002285};0.517382413;0.590812568;49841;2724076;1874679;46492
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.40990070840002285};0.528292485;0.59126027;50892;2725127;1873628;45441
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.40990070840002285};0.528219821;0.591257288;50885;2725120;1873635;45448
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.40990070840002285};0.52868695;0.591276457;50930;2725165;1873590;45403
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.40990070840002285};0.50629587;0.590357625;48773;2723008;1875747;47560
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.40990070840002285};0.52489801;0.591120976;50565;2724800;1873955;45768
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.40990070840002285};0.528468957;0.591267512;50909;2725144;1873611;45424
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.40990070840002285};0.538642002;0.591684969;51889;2726124;1872631;44444
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.40990070840002285};0.534126416;0.591499669;51454;2725689;1873066;44879
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.40990070840002285};0.531012218;0.591371876;51154;2725389;1873366;45179
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.40990070840002285};0.52584265;0.59115974;50656;2724891;1873864;45677
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.40990070840002285};0.525116004;0.591129921;50586;2724821;1873934;45747
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.40990070840002285};0.528904944;0.591285403;50951;2725186;1873569;45382
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.40990070840002285};0.536275212;0.591587847;51661;2725896;1872859;44672
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.40990070840002285};0.521202496;0.590969328;50209;2724444;1874311;46124
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.40990070840002285};0.517050232;0.590798937;49809;2724044;1874711;46524
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.40990070840002285};0.514859913;0.590709056;49598;2723833;1874922;46735
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.40990070840002285};0.524825345;0.591117994;50558;2724793;1873962;45775
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.40990070840002285};0.529662732;0.591316499;51024;2725259;1873496;45309
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.40990070840002285};0.452503296;0.588150211;43591;2717826;1880929;52742
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.40990070840002285};0.485233513;0.589493317;46744;2720979;1877776;49589
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.40990070840002285};0.457901238;0.58837172;44111;2718346;1880409;52222
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.40990070840002285};0.457351063;0.588349143;44058;2718293;1880462;52275
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.40990070840002285};0.453655549;0.588197495;43702;2717937;1880818;52631
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.40990070840002285};0.453115755;0.588175344;43650;2717885;1880870;52683
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.40990070840002285};0.462541393;0.588562131;44558;2718793;1879962;51775
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.40990070840002285};0.474281918;0.589043911;45689;2719924;1878831;50644
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.40990070840002285};0.448818162;0.58799899;43236;2717471;1881284;53097
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.40990070840002285};0.470710971;0.588897375;45345;2719580;1879175;50988
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.40990070840002285};0.456385662;0.588309527;43965;2718200;1880555;52368
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.40990070840002285};0.465271506;0.588674163;44821;2719056;1879699;51512
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.40990070840002285};0.450344119;0.588061608;43383;2717618;1881137;52950
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.40990070840002285};0.4825034;0.589381285;46481;2720716;1878039;49852
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.40990070840002285};0.472403019;0.58896681;45508;2719743;1879012;50825
